"Sr.","Stock Name","Symbol","close","%_change","volume","sector","industry2","marketcapname","Add Column"
1676,"Utkarsh Small Finance Bank Ltd","UTKARSHBNK","13.8","-0.43%","39,93,057","bank","banks - private sector","smallcap",""
1677,"Bajaj Consumer Care Ltd","BAJAJCON","499.5","-0.44%","3,05,752","fmcg","personal care - indian","midcap",""
1678,"Pondy Oxides & Chemicals Ltd","POCL","466.8","-0.44%","3,59,098","metals & mining","mining / minerals / metals","smallcap",""
1679,"Wanbury Limited","WANBURY","224.15","-0.44%","1,19,977","healthcare","pharmaceuticals - indian - bulk drugs & formln","smallcap",""
1680,"Punjab National Bank Ltd","PNB","116.6","-0.44%","80,69,096","bank","banks - public sector","largecap",""
1681,"Uniphos Enterprises Limited","UNIENTER","90.1","-0.44%","2,133","services","trading","smallcap",""
1682,"Orient Green Power Company Limited","GREENPOWER","8.96","-0.44%","18,45,566","power & utilities","power generation and supply","smallcap",""
1683,"Jindal Photo Limited","JINDALPHOT","1,058.4","-0.45%","532","financials","finance & investments","smallcap",""
1684,"UTI BSE Sensex ETF","SENSEXBETA","817.29","-0.45%","2,350","indices","indices","smallcap",""
1685,"Gna Axles Limited","GNA","617.65","-0.45%","6,23,477","auto","auto ancillaries","smallcap",""
1686,"Mishra Dhatu Nigam Ltd","MIDHANI","405.05","-0.45%","3,68,821","aerospace & defence","steel - medium / small","midcap",""
1687,"Superhouse Limited","SUPERHOUSE","164.71","-0.45%","4,839","consumer discretionary","leather / leather products","smallcap",""
1688,"Ncc Limited","NCC","132.82","-0.45%","21,18,247","realty","construction","midcap",""
1689,"ICICI Prudential Nifty 200 Momentum 30 ETF","MOM30IETF","30.66","-0.45%","2,86,765","indices","indices","smallcap",""
1690,"Dr. Lal Path Labs Ltd.","LALPATHLAB","1,952.3","-0.46%","4,52,137","healthcare","healthcare","largecap",""
1691,"Computer Age Management Services Ltd","CAMS","707.35","-0.46%","7,63,343","financials","miscellaneous","midcap",""
1692,"Mold-tek Packaging Limited","MOLDTKPAC","669.85","-0.46%","25,483","industrials","packaging","smallcap",""
1693,"Campus Activewear Ltd","CAMPUS","209.99","-0.46%","3,47,831","consumer discretionary","leather / leather products","midcap",""
1694,"Gic Housing Finance Limited","GICHSGFIN","137.32","-0.46%","36,885","financials","finance - housing","smallcap",""
1695,"The State Trading Corporation Of India Limited","STCINDIA","109.35","-0.46%","6,167","services","trading","smallcap",""
1696,"Motilal Oswal Nifty 50 Equal Weight ETF","MON50EQUAL","32.13","-0.46%","42,459","indices","indices","smallcap",""
1697,"NIFTYHEALTHCARE","NIFTYHEALTHCARE","16,678.55","-0.47%","0","indices","indices","smallcap",""
1698,"Tasty Bite Eatables Ltd","TASTYBITE","9,856","-0.47%","1,290","fmcg","food - processing - indian","smallcap",""
1699,"Globus Spirits Limited","GLOBUSSPR","832.55","-0.47%","35,079","fmcg","breweries & distilleries","smallcap",""
1700,"Gokaldas Exports Limited","GOKEX","689.6","-0.47%","1,58,193","readymade garments/apparels","textiles - products","midcap",""
1701,"Universus Photo Imagings Ltd","UNIVPHOTO","547.25","-0.47%","547","consumer discretionary","photographic and allied products","smallcap",""
1702,"Windsor Machines Limited","WINDMACHIN","299.5","-0.47%","25,613","industrials","engineering","smallcap",""
1703,"Bartronics India Ltd","ASMS","6.38","-0.47%","2,48,422","i.t","computers - software - medium / small","smallcap",""
1704,"Accuracy Shipping Ltd","ACCURACY","4.28","-0.47%","85,179","transportation","miscellaneous","smallcap",""
1705,"Glaxosmithkline Pharmaceuticals Limited","GLAXO","2,815.7","-0.48%","15,380","healthcare","pharmaceuticals - multinational","largecap",""
1706,"Tinna Rubber & Infrastructure Ltd","TINNARUBR","978.1","-0.48%","28,833","fmcg","miscellaneous","smallcap",""
1707,"Stove Kraft Ltd","STOVEKRAFT","814.4","-0.48%","53,691","consumer discretionary","domestic appliances","smallcap",""
1708,"Mayur Uniquoters Ltd","MAYURUNIQ","729.6","-0.48%","1,22,295","consumer discretionary","leather / leather products","smallcap",""
1709,"FSN E-Commerce Ventures Ltd","NYKAA","333.7","-0.48%","35,37,870","i.t","trading","largecap",""
1710,"Sri Lotus Developers & Realty Ltd","LOTUSDEV","217.99","-0.48%","7,23,532","realty","construction","midcap",""
1711,"Sula Vineyards Ltd","SULA","135.13","-0.48%","2,86,393","fmcg","breweries & distilleries","smallcap",""
1712,"Thomas Cook  (india)  Limited","THOMASCOOK","103.47","-0.48%","2,09,188","miscellaneous","travel agencies","smallcap",""
1713,"Paisalo Digital Ltd","PAISALO","89.02","-0.48%","77,21,853","financials","finance & investments","midcap",""
1714,"ICICI Prudential Nifty Financial Serv. Ex-Bank ETF","FINIETF","31.1","-0.48%","3,82,407","indices","indices","smallcap",""
1715,"Groww Nifty India Railways PSU ETF","GROWWRAIL","26.75","-0.48%","4,70,644","indices","indices","smallcap",""
1716,"Nova Agritech Ltd","NOVAAGRI","22.9","-0.48%","61,655","chemicals","fertilizers","smallcap",""
1717,"Reliance Power Limited","RPOWER","20.57","-0.48%","1,46,06,424","power & utilities","power generation and supply","midcap",""
1718,"Exxaro Tiles Ltd","EXXARO","6.21","-0.48%","1,41,227","building materials","ceramics - tiles / sanitaryware","smallcap",""
1719,"Kamdhenu Ventures Ltd","KAMOPAINTS","4.19","-0.48%","3,29,674","metals & mining","trading","smallcap",""
1720,"Jsw Holdings Limited","JSWHL","11,062","-0.49%","1,415","financials","finance & investments","midcap",""
